scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.5,,,0,106.725500
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.5,,,0,102.680710
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.5,,,0,102.374883
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,1,640,1,0.0008,0.5,1.0,,,0,105.435916
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,2,640,1,0.0008,0.5,1.0,,,0,110.636378
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,3,640,1,0.0008,0.5,1.0,,,0,108.269500
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.0,0.5,0,23.494967
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.0,0.5,0,23.495746
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.0,0.5,0,23.656472
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.25,0.5,0,48.536825
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.25,0.5,0,48.790836
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.25,0.5,0,48.617019
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.0,,,0,32.075122
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.0,,,0,32.063931
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.0,,,0,33.121415
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.5,,,0,56.820525
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.5,,,0,57.028564
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.5,,,0,57.511387
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,1,640,1,0.0008,0.5,1.0,,,0,59.512120
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,2,640,1,0.0008,0.5,1.0,,,0,58.892272
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,16,3,640,1,0.0008,0.5,1.0,,,0,59.391637
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.0,0.5,0,14.130559
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.0,0.5,0,14.308249
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.0,0.5,0,14.072837
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.25,0.5,0,28.401744
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.25,0.5,0,28.216651
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.25,0.5,0,27.869353
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.0,,,0,23.508172
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.0,,,0,23.260680
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.0,,,0,23.049811
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.5,,,0,39.304770
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.5,,,0,39.560860
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.5,,,0,39.356683
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,1,640,1,0.0008,0.5,1.0,,,0,39.998895
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,2,640,1,0.0008,0.5,1.0,,,0,39.849236
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,32,3,640,1,0.0008,0.5,1.0,,,0,40.007308
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.0,0.5,0,11.425491
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.0,0.5,0,11.465161
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.0,0.5,0,11.480213
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.25,0.5,0,20.526434
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.25,0.5,0,20.363316
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.25,0.5,0,20.355279
