h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.0125,80,80,1,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.217037e-02,6.541614e-02,0.140
0.0125,80,80,1,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,7.314526e-04,1.915977e-02,0.519
0.0125,80,80,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.700673e-03,1.929770e-02,1.070
0.0125,80,80,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.334883e-03,1.938464e-02,5.289
0.0125,80,80,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.448308e-01,4.448308e-01,0.776
0.0125,80,80,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.549006e-02,6.549025e-02,0.834
0.0125,80,80,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.644498e-03,2.648679e-03,1.929
0.0125,80,80,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.611736e-04,6.776450e-04,3.442
0.0125,80,80,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.628262e-05,1.507258e-04,17.509
0.00625,160,160,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.435822e-01,4.436143e-01,0.487
0.00625,160,160,1,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.466013e-02,6.545932e-02,0.597
0.00625,160,160,1,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.806244e-03,9.764138e-03,1.915
0.00625,160,160,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.830505e-04,9.578370e-03,3.333
0.00625,160,160,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,8.140233e-04,9.605095e-03,17.391
0.00625,160,160,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.448311e-01,4.448311e-01,5.036
0.00625,160,160,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.549024e-02,6.549025e-02,5.358
0.00625,160,160,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.644683e-03,2.644943e-03,9.480
0.00625,160,160,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.613585e-04,6.623968e-04,14.609
0.00625,160,160,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.644538e-05,4.556896e-05,66.006
0.003125,320,320,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.445188e-01,4.445268e-01,3.007
0.003125,320,320,1,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.528271e-02,6.548174e-02,3.399
0.003125,320,320,1,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.434970e-03,5.382872e-03,8.439
0.003125,320,320,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.516815e-04,4.812396e-03,14.407
0.003125,320,320,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.837013e-04,4.791634e-03,68.241
0.003125,320,320,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.448311e-01,4.448311e-01,42.307
0.003125,320,320,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.549025e-02,6.549025e-02,43.589
0.003125,320,320,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.644695e-03,2.644709e-03,62.356
0.003125,320,320,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.613701e-04,6.614332e-04,84.574
0.003125,320,320,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.645661e-05,2.819069e-05,284.020
