h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_avg,rel_H1_error_avg,elapsed_time_s
0.0125,80,80,1,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,3.469
0.0125,80,80,1,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,3.997601e+21,3.559958e+23,16.731
0.0125,80,80,2,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,4.341173e+11,8.334889e+13,0.373
0.0125,80,80,2,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,4.964081e+24,9.545701e+26,0.706
0.0125,80,80,2,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,3.457
0.0125,80,80,2,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,6.993
0.0125,80,80,2,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,34.532
0.00625,160,160,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,3.533034e+08,5.941256e+10,0.682
0.00625,160,160,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.289464e+21,2.245312e+23,1.232
0.00625,160,160,1,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,6.131
0.00625,160,160,1,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,12.248
0.00625,160,160,1,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,62.279
0.00625,160,160,2,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.832604e+13,1.088196e+16,1.370
0.00625,160,160,2,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,3.584630e+29,1.379114e+32,2.581
0.00625,160,160,2,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,12.873
0.00625,160,160,2,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,18.201
0.00625,160,160,2,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,56.535
0.003125,320,320,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,8.415488e+10,2.863430e+13,3.708
0.003125,320,320,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,3.533841e+26,1.229914e+29,6.623
0.003125,320,320,1,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,29.916
0.003125,320,320,1,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,42.571
0.003125,320,320,1,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,128.563
0.003125,320,320,2,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.841166e+15,1.414958e+18,6.042
0.003125,320,320,2,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.433724e+34,1.873031e+37,11.235
0.003125,320,320,2,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,50.021
0.003125,320,320,2,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,63.452
0.003125,320,320,2,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,137.186
